Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
beaver-funnel-fast-spill-free-fuelling,,,,,,,Colour,Yellow,,,,,BEAVER-MISC-004-5,shopify,0,continue,manual,10.99,,TRUE,TRUE,,,,,,,
beaver-funnel-fast-spill-free-fuelling,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1013/0322/2621/files/Namnlosdesign_17.png?v=1775245629,2,,,,,
beaver-funnel-fast-spill-free-fuelling,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1013/0322/2621/files/Namnlosdesign_16.png?v=1775245629,3,,,,,
ride-on-mower-seat-cover-heavy-duty-600d-oxford,Ride-On Mower Seat Cover – Heavy-Duty 600D Oxford,"<div style=""max-width:720px;margin:0 auto;"">

<h2>Tired of a wet, scorching, cracked seat?</h2>
<p>The original cushion on your ride-on mower dries out, cracks and turns rock-hard after just a couple of seasons in the sun and rain. You sit down on a damp seat in the morning, a scorching one in the afternoon – and every bump in the lawn jars straight into your back. What should be comfortable becomes the worst part of cutting the grass.</p>

<!-- GIF 1: byt ut bilden nedan mot en animerad GIF (problem) -->
<p style=""text-align:center;""><img src=""https://cdn.shopify.com/s/files/1/1013/0322/2621/files/dc72d185-eb2a-4b3b-83fd-8c32ebd0a502.jpg?v=1781962959"" alt=""Slitet gräsklipparsäte"" style=""max-width:100%;border-radius:12px;""></p>

<h2>The solution: rescues your seat in under 60 seconds</h2>
<p>Our seat cover in heavy-duty 600D Oxford fabric slips straight over your existing cushion. The water-repellent fabric keeps you dry, the padded interior gives a softer ride, and the adjustable straps hold everything firmly in place – even on bumpy ground. No tools, no hassle. Slip it on, strap it down, drive.</p>

<!-- GIF 2: byt ut bilden nedan mot en animerad GIF (lösning/montering) -->
<p style=""text-align:center;""><img src=""https://cdn.shopify.com/s/files/1/1013/0322/2621/files/6ba42dd1-e866-4d3c-a388-47d352b593d6.jpg?v=1781962959"" alt=""Sätesöverdrag monteras på gräsklippare"" style=""max-width:100%;border-radius:12px;""></p>

<h2>Features</h2>
<ul>
<li>
<strong>Heavy-duty 600D Oxford fabric</strong> – withstands sun, rain and daily use season after season.</li>
<li>
<strong>Water-repellent surface</strong> – dry, comfortable seating even after rain and morning dew.</li>
<li>
<strong>Adjustable straps</strong> – stays put and won't slip while driving.</li>
<li>
<strong>Universal fit</strong> – fits most ride-on mowers and garden tractors.</li>
<li>
<strong>Fits in under 60 seconds</strong> – no tools required.</li>
<li>
<strong>Multiple colours</strong> – pick the one that suits your machine.</li>
</ul>

<p style=""text-align:center;""><img src=""https://cdn.shopify.com/s/files/1/1013/0322/2621/files/0d5c10ca-0994-4b04-b273-9bb96296a1c3.jpg?v=1781962960"" alt=""Justerbara remmar och passform"" style=""max-width:100%;border-radius:12px;""></p>

<h2>30-Day Money-Back Guarantee</h2>
<p>We're confident you'll love your new seat cover. If you're not completely satisfied within 30 days, you'll get your money back – no risk to you. Order today and give your seat the protection it deserves.</p>

</div>",BeaverShop,Garden & Mower Accessories,"Mower, Seat Cover, Test, Tractor, Garden, Ride-On Mower",FALSE,Colour,Grey,,,,,BEAVER-GARD-005-1,shopify,0,continue,manual,49.99,61.99,TRUE,TRUE,https://cdn.shopify.com/s/files/1/1013/0322/2621/files/0f0c537d-522e-4e1a-b9f7-653c141d8dc5.jpg?v=1781962959,1,Ride-on mower seat cover,FALSE,Ride-On Mower Seat Cover - 600D Oxford,"Heavy-duty 600D Oxford seat cover for ride-on mowers. Water-repellent, padded and fits in under 60 seconds. Multiple colours available.",draft
ride-on-mower-seat-cover-heavy-duty-600d-oxford,,,,,,,Colour,Black,,,,,BEAVER-GARD-005-2,shopify,0,continue,manual,49.99,61.99,TRUE,TRUE,,,,,,,
ride-on-mower-seat-cover-heavy-duty-600d-oxford,,,,,,,Colour,Green,,,,,BEAVER-GARD-005-3,shopify,0,continue,manual,49.99,61.99,TRUE,TRUE,,,,,,,
ride-on-mower-seat-cover-heavy-duty-600d-oxford,,,,,,,Colour,Light Grey,,,,,BEAVER-GARD-005-4,shopify,0,continue,manual,49.99,61.99,TRUE,TRUE,,,,,,,
ride-on-mower-seat-cover-heavy-duty-600d-oxford,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1013/0322/2621/files/dc72d185-eb2a-4b3b-83fd-8c32ebd0a502.jpg?v=1781962959,2,Seat cover fitted on ride-on mower,,,,
ride-on-mower-seat-cover-heavy-duty-600d-oxford,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1013/0322/2621/files/6ba42dd1-e866-4d3c-a388-47d352b593d6.jpg?v=1781962959,3,600D Oxford seat cover detail,,,,
ride-on-mower-seat-cover-heavy-duty-600d-oxford,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1013/0322/2621/files/f90decd3-e248-46e8-92f0-055a17e3fda3.jpg?v=1781962959,4,Seat cover fit,,,,
ride-on-mower-seat-cover-heavy-duty-600d-oxford,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1013/0322/2621/files/0d5c10ca-0994-4b04-b273-9bb96296a1c3.jpg?v=1781962960,5,Adjustable straps,,,,
ride-on-mower-seat-cover-heavy-duty-600d-oxford,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1013/0322/2621/files/faab8a98-428b-4129-b11c-777252f71d2a.jpg?v=1781962959,6,Water-repellent fabric,,,,
ride-on-mower-seat-cover-heavy-duty-600d-oxford,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1013/0322/2621/files/24e2ec09-cf44-4b0b-97b8-e1296735ecc2.jpg?v=1781962959,7,Seat cover colour options,,,,
ride-on-mower-seat-cover-heavy-duty-600d-oxford,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1013/0322/2621/files/7cd7b402-132a-4f4f-8b9a-06e15ec2aeaa.jpg?v=1781962960,8,Seat cover in use,,,,
ride-on-mower-seat-cover-heavy-duty-600d-oxford,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1013/0322/2621/files/ea5c10c1-6f0c-46fa-a2c4-02097aeaa1e9.jpg?v=1781962960,9,Seat cover close-up,,,,
ride-on-mower-seat-cover-heavy-duty-600d-oxford,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1013/0322/2621/files/2db86f61-6f55-4b63-921c-fd7c4d3a7a82.jpg?v=1781962959,10,Seat cover universal fit,,,,
ride-on-mower-seat-cover-heavy-duty-600d-oxford,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1013/0322/2621/files/bccd9cd1-a768-4ee0-9a4f-fe3ae46a85cf.jpg?v=1781962960,11,Seat cover installation,,,,
ride-on-mower-seat-cover-heavy-duty-600d-oxford,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1013/0322/2621/files/WhatsAppImage2026-08-03at09.04.43.jpg?v=1785742031,12,,,,,
triangular-sun-sail-uv-protection-for-garden-patio,Triangular Sun Sail – UV Protection for Garden & Patio,"<div style=""max-width:720px;margin:0 auto;"">

<h2>The sun makes your patio unusable at midday</h2>
<p>When the sun's at its highest, the deck, poolside and patio become far too hot to sit on. You and the kids are forced indoors, the furniture fades, and barbecue night gets moved to the shade by next door's hedge. A patio with no shade is a patio you barely use.</p>

<!-- GIF 1: byt ut bilden nedan mot en animerad GIF (problem) -->
<p style=""text-align:center;""><img src=""https://cdn.shopify.com/s/files/1/1013/0322/2621/files/fb33a89a-fe06-4ee1-8d11-27d932fd86d8.jpg?v=1782024307"" alt=""Solsegel över uteplats"" style=""max-width:100%;border-radius:12px;""></p>

<h2>Cool shade in minutes</h2>
<p>Our triangular sun sail stretches over your patio, pool or play area and instantly creates a cool, shaded zone. The UV-protective fabric with silver coating reflects the sun's heat instead of letting it through – so you can enjoy the outdoors all day long. Ropes are included at every corner, so you're up and ready in minutes.</p>

<!-- GIF 2: byt ut bilden nedan mot en animerad GIF (lösning/montering) -->
<p style=""text-align:center;""><img src=""https://cdn.shopify.com/s/files/1/1013/0322/2621/files/4958061b-0c95-4f3b-815e-45dedbf651b5.jpg?v=1782024307"" alt=""Solsegel uppsatt i trädgård"" style=""max-width:100%;border-radius:12px;""></p>

<h2>Features</h2>
<ul>
<li>
<strong>Effective UV protection</strong> – the silver coating reflects sunlight and keeps the heat out.</li>
<li>
<strong>Durable outdoor fabric</strong> – polyester that withstands sun, wind and rain season after season.</li>
<li>
<strong>Reinforced corners with D-rings</strong> – stable rigging that holds firm even in windy conditions.</li>
<li>
<strong>Ropes included</strong> – everything you need to set it up straight away.</li>
<li>
<strong>Two sizes</strong> – 3×3×3 m and 4×4×4 m for different spaces.</li>
<li>
<strong>Sleek khaki finish</strong> – suits most gardens and patios.</li>
</ul>

<p style=""text-align:center;""><img src=""https://cdn.shopify.com/s/files/1/1013/0322/2621/files/745598c5-a3e1-44c8-b50c-a4c43e877b51.jpg?v=1782024307"" alt=""Kraftigt hörn med D-ring"" style=""max-width:100%;border-radius:12px;""></p>

<h2>30-Day Money-Back Guarantee</h2>
<p>Give your patio the shade it deserves. If you're not completely satisfied within 30 days, you'll get your money back – no risk to you. Order today ahead of summer's sunniest days.</p>

</div>",BeaverShop,Garden & Outdoor,"Shade Sail, Sun Sail, Test, Garden, Patio, Outdoor, UV Protection",FALSE,Size,3×3×3 m,,,,,BEAVER-GARD-006-1,shopify,18,continue,manual,37.99,47.99,TRUE,TRUE,https://cdn.shopify.com/s/files/1/1013/0322/2621/files/37df421f-8d3b-4937-9a6e-b8e58f24d716.jpg?v=1782024307,1,Triangular sun sail in khaki,FALSE,Triangular Sun Sail - UV Shade for Garden,"UV-protective triangular sun sail for garden, patio and pool. Silver-coated fabric, D-ring corners, two sizes available.",draft
triangular-sun-sail-uv-protection-for-garden-patio,,,,,,,Size,4×4×4 m,,,,,BEAVER-GARD-006-2,shopify,19,continue,manual,53.99,66.99,TRUE,TRUE,,,,,,,
triangular-sun-sail-uv-protection-for-garden-patio,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1013/0322/2621/files/4958061b-0c95-4f3b-815e-45dedbf651b5.jpg?v=1782024307,2,Sun sail set up in the garden,,,,
triangular-sun-sail-uv-protection-for-garden-patio,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1013/0322/2621/files/ef01e88e-865f-4079-8511-8fda5565411a.jpg?v=1782024308,3,Sun sail UV protection,,,,
triangular-sun-sail-uv-protection-for-garden-patio,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1013/0322/2621/files/fb33a89a-fe06-4ee1-8d11-27d932fd86d8.jpg?v=1782024307,4,Sun sail over patio,,,,
triangular-sun-sail-uv-protection-for-garden-patio,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1013/0322/2621/files/2b62019d-3370-4a42-95fe-874998e74dd0.jpg?v=1782024307,5,Sun sail seam detail,,,,
triangular-sun-sail-uv-protection-for-garden-patio,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1013/0322/2621/files/4709f490-a5d9-4ade-804a-affef7a7e894.jpg?v=1782024307,6,Sun sail installed,,,,
triangular-sun-sail-uv-protection-for-garden-patio,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1013/0322/2621/files/745598c5-a3e1-44c8-b50c-a4c43e877b51.jpg?v=1782024307,7,Sun sail corner with D-ring,,,,
triangular-sun-sail-uv-protection-for-garden-patio,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1013/0322/2621/files/558ed6f0-73a6-4b13-a038-effb7cf1fc28.jpg?v=1782024307,8,Sun sail size options,,,,
triangular-sun-sail-uv-protection-for-garden-patio,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1013/0322/2621/files/e681f707-f1ec-4265-b16b-c9dc972a8244.jpg?v=1782024307,9,Sun sail providing shade,,,,
triangular-sun-sail-uv-protection-for-garden-patio,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1013/0322/2621/files/e106a7f6-abbe-4852-b406-e7da017bf63b.jpg?v=1782024307,10,Khaki sun sail outdoors,,,,
